model_pair,benchmark,condition,cond_type,run,item_id,correct,token_ids,n_tokens,accept_rate,construct,analysis_source,temperature
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_0,1,576 2790 11341 14064 15017 16285 323 20060 594 16639 374 220 22 488 220 16 16 284 220 16 23 13 576 2790 4231 10868 264 2790 11341 315 220 16 23 11 7290 1817 11341 10868 220 16 21 17 608 220 16 23 284 220 24 1635 13 8704 20060 594 4231 374 15251 553 220 16 16 11 566 374 220 16 16 353 220 24 284 220 24 24 1635 2310 13 17695 1635 504 1431 11 20060 686 387 220 24 24 488 220 16 15 284 220 16 15 24 1635 2310 13 576 4226 374 220 16 15 24 624 58 14582 60 32 10855 5579 702 311 8329 400 17 817 49580 315 6819 13 2932 646 6541 220 16 15 8756 817 49580 13 2932 20118 518 264 4379 315 220 18 15 8756 817 6460 13 1416 1340 374 7171 8672 20 15 817 14587 11 1246 1753 3220 1558 1340 1281 421 1340 20118 369 220 16 15 4115 5267 58 16141 60 7941 20118 220 18 15 15 8756 1576 220 16 15 856 220 18 15 284 220 18 15 15 13 2932 5711 220 16 20 15 50122 315 6819 1576 220 18 15 15 608 220 16 15 284 220 16 20 15 13 2932 37102 400 18 15 15 389 6819 1576 220 16 20 15 856 220 17 284 220 18 15 15 13 2932 63759 400 16 20 15 1576 220 18 15 15 856 659 20,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_1,0,14822 220 16 25 20517 279 1372 315 2613 49296 444 90022 30342 369 3460 12424 624 7941 30342 220 24 15 4 315 1059 2613 49296 11 773 1340 30342 220 15 13 24 353 220 18 15 2613 49296 284 220 17 22 2613 49296 382 8304 220 17 25 20517 279 1372 315 3460 12424 1340 5221 504 11133 2613 49296 624 12549 1817 3460 46177 374 5802 264 3460 3137 476 2326 2613 12424 11 11133 220 17 22 2613 49296 686 2968 1059 220 17 22 608 220 18 284 220 24 3460 12424 382 8304 220 18 25 20517 279 1372 315 3460 49296 444 90022 30342 369 3460 12424 624 7941 8471 448 220 19 15 3460 49296 323 30342 220 20 15 4 315 1105 11 773 1340 30342 220 15 13 20 353 220 19 15 284 220 17 15 3460 49296 382 8304 220 19 25 20517 279 1372 315 3460 12424 1340 5221 504 11133 3460 49296 624 4854 3460 46177 374 5802 264 3460 3137 11 773 11133 220 17 15 3460 49296 686 2968 1059 220 17 15 3460 12424 382 8304 220 20 25 20517 279 1372 315 3460 49296 444 90022 702 2115 1283 11133 624 7941 3855 448 220 19 15 3460 49296 323 30107 220 17 15 11 773 1340 702 220 19 15 481 220 17 15 284 220 17 15 3460 49296 2115 382 8304 220 21 25 20517 279 1372 315 2613 12424 1340 5221 504,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_2,0,2263 12784 6 12923 702 320 21 608 220 17 8 488 220 19 284 220 21 11931 304 1059 829 13 2263 12784 323 1059 12923 614 220 21 488 220 21 284 220 16 17 11931 304 862 5036 13 576 4226 374 220 16 17 624 58 14582 60 32 398 52107 323 26518 52158 10788 220 19 15 51205 311 56581 862 3054 13 68310 52107 1483 4279 315 1105 11 323 26518 1483 220 22 15 4 315 279 9664 51205 13 2585 1657 51205 525 1052 304 279 3054 1431 5267 58 16141 60 6025 68310 52107 1483 4279 315 279 51205 11 1052 1033 220 19 15 608 220 17 284 220 17 15 51205 2115 13 26518 1483 220 22 15 4 315 279 9664 51205 11 892 374 220 22 15 608 220 16 15 15 353 220 17 15 284 220 16 19 51205 13 2619 525 220 17 15 481 220 16 19 284 220 21 51205 2115 304 279 3054 13 576 4226 374 220 21 624 48 25 19626 702 220 19 4115 2686 1091 10917 279 3311 315 882 429 16046 702 2115 311 6248 806 28459 13 16046 702 4743 4115 2686 1091 24521 2115 311 6248 806 28459 13 1416 24521 702 220 16 23 4115 2115 311 6248 806 28459 11 11047 279 2790 1372 315 4115 807 678 614 2115 311 6248 862 28459 5267 32 25 16046 702 220 16 23 481 220 21 284 220 16,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_3,1,14822 220 16 25 29901 279 1372 315 49955 81460 646 1598 624 91603 3767 646 1598 220 16 15 49955 304 825 6460 11 323 81460 646 1598 220 19 803 49955 1091 28003 3767 13 2055 11 81460 646 1598 220 16 15 488 220 19 284 220 16 19 49955 304 825 6460 382 8304 220 17 25 29901 279 1372 315 49955 27970 91509 646 1598 624 62316 91509 646 1598 4279 438 1657 49955 438 81460 13 2055 11 27970 91509 646 1598 220 16 19 608 220 17 284 220 22 49955 304 825 6460 382 8304 220 18 25 29901 279 1372 315 49955 40523 646 1598 624 2183 6130 646 1598 220 17 16745 49955 1091 27970 91509 13 2055 11 40523 646 1598 220 22 481 220 17 284 220 20 49955 304 825 6460 382 8304 220 19 25 29901 279 6672 1948 279 1372 315 49955 28003 3767 323 40523 646 1598 624 91603 3767 646 1598 220 16 15 49955 304 825 6460 11 323 40523 646 1598 220 20 49955 304 825 6460 13 2055 11 28003 3767 646 1598 220 16 15 481 220 20 284 220 20 803 49955 1091 40523 304 825 6460 382 16141 25 28003 3767 646 1598 220 20 803 49955 7707 311 40523 624 2610 525 458 15235 17847 429 8609 1251 1477 1995 13 2657 686 498 2968 498 264 3405 13 4615 3383 374 311 4226 438 93076 438 498 646 13 5976 35764,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_4,0,1913 279 2086 8592 1052 525 220 20 488 220 20 284 220 16 15 2841 2701 279 9853 12644 10855 13 576 4843 8592 15634 220 16 15 488 220 16 15 353 220 17 284 220 18 15 2841 5138 279 83714 13 3197 279 4024 220 20 2841 5274 11 220 18 15 481 220 20 284 220 17 20 2841 7146 13 576 4226 374 220 17 20 624 14582 25 7209 6556 13928 4990 220 16 20 4420 311 3695 10799 323 264 8968 301 323 10917 429 1293 311 1349 279 5567 323 8180 1573 2087 304 311 975 13 2585 1293 1558 13928 594 6556 14021 1896 5267 16141 25 5512 1477 279 882 13928 37102 12182 25 220 16 20 4420 353 220 17 284 220 18 15 4420 13 5005 912 279 882 566 37102 11833 17496 311 1477 279 2790 882 25 220 18 15 4420 488 220 16 20 4420 284 220 19 20 4420 13 576 4226 374 220 19 20 624 14582 25 23016 6801 311 3695 264 6741 501 12963 13 576 10806 3349 518 279 12963 8061 13352 518 400 21 15 15 13 2932 6781 400 16 17 15 8841 279 7627 13 1634 419 572 537 3322 11 1340 4588 1059 6554 311 2968 1059 279 9664 3311 13 6252 6554 8900 1059 400 17 20 15 323 3229 1059 429 1340 3880 311 7232 279 2732 3238 2337 279 24421 13 2585 1753 3220 1969 23016 7232 311,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_5,0,14822 220 16 25 7379 279 2790 1372 315 4115 13509 5990 71390 624 48336 5780 311 6084 518 220 16 15 281 744 13 323 61567 705 518 220 21 264 744 13 2014 1477 279 2790 1372 315 4115 1340 71390 11 582 1184 311 32256 279 1191 882 504 279 835 882 382 21 264 744 13 481 220 16 15 281 744 13 284 220 23 4115 271 8304 220 17 25 7169 279 2790 6084 4115 1119 4420 624 12549 1052 525 220 21 15 4420 304 458 6460 11 582 646 30270 279 2790 6084 4115 553 220 21 15 311 1477 279 2790 6084 4420 382 23 4115 353 220 21 15 4420 7530 413 284 220 19 23 15 4420 271 8304 220 18 25 7379 279 882 13509 572 6084 80649 624 48336 572 6084 80649 504 220 17 25 16 20 264 744 13 311 220 17 25 18 23 264 744 13 2014 1477 279 8090 315 6084 80649 11 582 1184 311 32256 279 1191 882 504 279 835 882 382 17 25 18 23 264 744 13 481 220 17 25 16 20 264 744 13 284 220 17 18 4420 271 8304 220 19 25 20517 279 882 13509 38726 705 6788 1091 13475 624 48336 38726 705 220 20 4420 6788 1091 13475 311 728 311 279 14852 13 2055 11 582 1184 311 32256 220 20 4420 504 1059 13475 15156 5239 882 382 21 264 744 13 481 220,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_6,0,43212 39506 4279 315 279 220 19 23 67342 773 1052 1033 220 19 23 608 220 17 284 220 17 19 67342 2115 13 43212 5927 220 17 20 67342 311 21707 696 594 26306 11 773 1052 1033 220 17 19 488 220 17 20 284 220 19 24 67342 13 43212 2937 39506 220 16 17 315 279 67342 773 1052 1033 220 19 24 481 220 16 17 284 220 18 22 67342 2115 13 21707 696 1221 3694 2441 220 21 67342 311 279 26306 773 1052 1033 220 18 22 488 220 21 284 220 19 18 67342 304 279 26306 13 576 4226 374 220 19 18 624 58 14582 60 52913 374 26792 264 7162 315 3691 6177 13 1260 3880 311 912 220 17 33319 315 60103 369 1449 220 18 15 15739 315 3015 13 1416 566 11367 220 24 15 15 15739 315 3015 11 1246 1753 60103 1558 566 912 5267 58 16141 60 5338 1477 279 1372 315 220 18 15 15739 19325 304 279 3015 25 220 24 15 15 15739 608 220 18 15 15739 608 13348 284 220 18 15 19325 13 5005 30270 429 1372 553 279 1372 315 33319 315 60103 817 13348 311 1477 279 2790 3311 315 60103 566 3880 25 220 18 15 19325 353 220 17 33319 608 13348 284 220 21 15 33319 13 576 4226 374 220 21 15 624 48 25 362 29595 5610 220 24 6303 22601 11 220 17,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_7,1,5512 1477 279 2790 1372 315 28990 19451 2382 23269 702 25 220 17 608 220 18 353 220 17 19 28990 25374 284 220 16 21 28990 19451 2382 13 5005 32256 279 220 21 28990 19451 2382 566 20609 311 42482 311 1477 279 9664 1372 25 220 16 21 28990 19451 2382 481 220 21 28990 19451 2382 284 220 16 15 28990 19451 2382 13 5005 912 419 311 279 1372 315 28990 25374 311 1477 279 2790 25 220 16 15 28990 19451 2382 488 220 17 19 28990 25374 284 220 18 19 28990 19451 2382 323 25374 13 576 4226 374 220 18 19 382 14582 25 362 2613 11 2310 11 22360 14164 646 3331 705 311 220 16 15 15 84302 518 3055 13 11268 11 54529 11 323 18661 525 2326 2841 879 6635 311 5312 279 14164 518 279 1852 882 13 18661 49442 220 18 19 84302 11 892 374 220 16 20 4 2686 1091 54529 13 11268 49442 220 20 84302 803 1091 54529 13 2585 1753 2238 1753 653 279 2326 2841 17529 3786 311 5312 279 14164 5267 16141 25 1416 18661 49442 220 16 20 4 2686 1091 54529 11 1340 49442 220 16 15 15 481 220 16 20 284 220 23 20 4 315 54529 594 4680 13 220 23 20 4 374 220 15 13 23 20 11 773 54529 49442 220 18 19 608 220 15 13 23 20 284 220 19 15 84302 13,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_8,0,576 8251 8473 220 16 20 353 220 19 15 284 220 21 15 15 7541 817 9383 13 576 36089 23926 4730 220 21 15 15 608 220 20 284 220 16 17 15 7541 817 9383 13 576 36089 23926 4730 220 16 17 15 353 220 19 15 284 220 19 23 15 15 7541 304 220 19 15 6486 13 576 4226 374 220 19 23 15 15 624 58 14582 60 32 220 16 15 15 2371 92414 12896 374 10199 448 10526 3015 13 2411 882 259 284 220 15 11 264 6291 8482 220 15 13 20 16302 315 12021 817 49580 374 42933 1119 279 12896 518 264 4379 315 220 19 50122 817 9383 11 1393 279 1632 5477 404 1151 20980 10901 279 12896 518 279 1852 4379 13 2585 1753 12021 374 304 279 12896 1283 220 18 15 4420 5267 58 16141 60 785 4379 518 892 12021 28833 279 12896 374 320 15 13 20 16302 608 49580 2376 19 50122 608 9383 8 284 220 17 16302 608 9383 13 6771 379 1155 8 387 279 3311 315 12021 304 279 12896 1283 259 4420 13 5005 279 4379 518 892 12021 10901 279 12896 374 320 88 1155 8 16302 608 220 16 15 15 50122 2376 19 50122 608 9383 8 284 220 15 13 15 19 88 1155 8 16302 608 9383 13 12091 279 40164 23606 13955 608 7594 284 220 17 481 220 15 13 15 19,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_9,1,14822 220 16 25 29901 279 1372 315 24908 369 279 1156 11031 624 12549 279 1156 11031 702 4279 279 1372 315 22466 438 279 1008 11031 11 432 702 220 19 19 353 220 17 284 1115 19 19 9 17 28 23 23 2452 23 23 22466 624 8304 220 17 25 20517 279 1372 315 24908 311 24427 369 279 1156 11031 624 785 1156 11031 5780 311 24427 369 2326 82541 315 1181 24908 11 773 432 702 220 23 23 353 220 18 14 19 284 1115 23 23 9 18 14 19 28 21 21 2452 21 21 22466 311 24427 624 8304 220 18 25 20517 279 1372 315 24908 311 9625 323 9856 369 279 1156 11031 624 785 9664 24908 525 6718 18308 1948 24908 311 9625 323 24908 311 9856 11 773 1817 3146 21189 320 23 23 481 220 21 21 8 608 220 17 284 1115 7 23 23 12 21 21 5620 17 28 16 16 2452 16 16 24908 624 8304 220 19 25 29901 279 1372 315 24908 311 9625 369 279 1156 11031 624 785 1372 315 24908 311 9625 369 279 1156 11031 374 220 16 16 624 785 4226 374 220 16 16 382 50 3948 3019 553 3019 624 14582 25 362 2906 702 220 16 15 15 15 4143 13 25839 315 279 4143 1033 4429 389 264 8411 311 279 14046 11321 13 25839 315 279 9664 4143 1033 3208 2114 13 2585 1657,256,1.0,math_reasoning,projected,0.7
