model_pair,draft_model,benchmark,run,item_id,correct,construct,analysis_source
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_0,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_1,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_2,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_3,1,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_4,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_5,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_6,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_7,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_8,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_9,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_10,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_11,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_12,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_13,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_14,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_15,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_16,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_17,1,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_18,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,gsm8k,0,gsm8k_19,0,math_reasoning,projected
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_0,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_1,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_2,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_3,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_4,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_5,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_6,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_7,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_8,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_9,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_10,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_11,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_12,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_13,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_14,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_15,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_16,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_17,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_18,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_19,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_20,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_21,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_22,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_23,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_24,1,knowledge_reasoning,observed_full
