model_pair,benchmark,condition,construct,accuracy,acc_A,delta_from_A
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,math_reasoning,0.145,0.145,0.0
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,math_reasoning,0.145,0.145,0.0
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,math_reasoning,0.06,0.145,-0.08499999999999999
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,math_reasoning,0.06,0.145,-0.08499999999999999
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,math_reasoning,0.06,0.145,-0.08499999999999999
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,math_reasoning,0.175,0.145,0.03
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,math_reasoning,0.06,0.145,-0.08499999999999999
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,math_reasoning,0.115,0.145,-0.029999999999999985
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,math_reasoning,0.115,0.145,-0.029999999999999985
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,math_reasoning,0.115,0.145,-0.029999999999999985
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,math_reasoning,0.02,0.145,-0.12499999999999999
Llama-3.2-1B→Llama-3.1-8B,hellaswag,A,commonsense_reasoning,0.66,0.66,0.0
Llama-3.2-1B→Llama-3.1-8B,hellaswag,B,commonsense_reasoning,0.66,0.66,0.0
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_060,commonsense_reasoning,0.632,0.66,-0.028000000000000025
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_070,commonsense_reasoning,0.656,0.66,-0.0040000000000000036
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_080,commonsense_reasoning,0.644,0.66,-0.016000000000000014
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_090,commonsense_reasoning,0.656,0.66,-0.0040000000000000036
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_030,commonsense_reasoning,0.682,0.66,0.02200000000000002
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_050,commonsense_reasoning,0.64,0.66,-0.020000000000000018
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_070,commonsense_reasoning,0.608,0.66,-0.052000000000000046
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_100,commonsense_reasoning,0.534,0.66,-0.126
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_150,commonsense_reasoning,0.446,0.66,-0.21400000000000002
Llama-3.2-1B→Llama-3.1-8B,mmlu,A,knowledge_reasoning,0.558,0.558,0.0
Llama-3.2-1B→Llama-3.1-8B,mmlu,B,knowledge_reasoning,0.558,0.558,0.0
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_060,knowledge_reasoning,0.56,0.558,0.0020000000000000018
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_070,knowledge_reasoning,0.57,0.558,0.0119999999999999
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_080,knowledge_reasoning,0.586,0.558,0.027999999999999914
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_090,knowledge_reasoning,0.574,0.558,0.015999999999999903
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_030,knowledge_reasoning,0.63,0.558,0.07199999999999995
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_050,knowledge_reasoning,0.626,0.558,0.06799999999999995
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_070,knowledge_reasoning,0.59,0.558,0.03199999999999992
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_100,knowledge_reasoning,0.52,0.558,-0.038000000000000034
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_150,knowledge_reasoning,0.434,0.558,-0.12400000000000005
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,math_reasoning,0.25,0.295,-0.044999999999999984
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,math_reasoning,0.295,0.295,0.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,math_reasoning,0.245,0.295,-0.04999999999999999
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,math_reasoning,0.245,0.295,-0.04999999999999999
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,math_reasoning,0.245,0.295,-0.04999999999999999
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,math_reasoning,0.25,0.295,-0.044999999999999984
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,A,commonsense_reasoning,0.77,0.77,0.0
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,commonsense_reasoning,0.77,0.77,0.0
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,commonsense_reasoning,0.782,0.77,0.01200000000000001
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,commonsense_reasoning,0.8,0.77,0.030000000000000027
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,commonsense_reasoning,0.8,0.77,0.030000000000000027
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,commonsense_reasoning,0.794,0.77,0.02400000000000002
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_030,commonsense_reasoning,0.818,0.77,0.04799999999999993
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_050,commonsense_reasoning,0.804,0.77,0.03400000000000003
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_070,commonsense_reasoning,0.778,0.77,0.008000000000000007
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_100,commonsense_reasoning,0.728,0.77,-0.04200000000000004
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_150,commonsense_reasoning,0.574,0.77,-0.19600000000000006
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,knowledge_reasoning,0.658,0.658,0.0
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,knowledge_reasoning,0.658,0.658,0.0
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,knowledge_reasoning,0.7,0.658,0.041999999999999926
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,knowledge_reasoning,0.682,0.658,0.02400000000000002
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,knowledge_reasoning,0.678,0.658,0.020000000000000018
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,knowledge_reasoning,0.688,0.658,0.029999999999999916
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_030,knowledge_reasoning,0.712,0.658,0.05399999999999994
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_050,knowledge_reasoning,0.692,0.658,0.03399999999999992
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_070,knowledge_reasoning,0.68,0.658,0.02200000000000002
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_100,knowledge_reasoning,0.632,0.658,-0.026000000000000023
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_150,knowledge_reasoning,0.502,0.658,-0.15600000000000003
