model_pair,benchmark,condition,cond_type,item_id,source_item_id,baseline_correct,condition_correct,score_flip,token_changed,token_change_no_score_flip,accept_rate,temperature,construct
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_0,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_1,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_2,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_3,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_4,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_5,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_6,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_7,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_8,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_9,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_10,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_11,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_12,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_13,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_14,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_15,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_16,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_17,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_18,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_19,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_20,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_21,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_22,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_23,gsm8k_5,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_24,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_25,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_26,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
